#timestamp_lkf,x,y,z,qw,qx,qy,qz
12004879999,0.023292106347380325815,0.017431764525310977643,0.11016859963047176407,0.99999902472832613576,0.0012804352306917843752,0.0005481114645019197814,0.00010296523356829911564
12204879999,0.11287317679558520056,-0.17633938029672019399,-0.24718733344646537375,0.99986140281165269972,-0.014017539174576428701,-0.0087479913474776127558,0.0020387276394418286408
12404880000,-0.022044522121048962943,-0.0016520220888204448749,0.00027246799019159731459,0.99999999999907118742,1.2679395183642190408e-06,-5.3449855779983257396e-08,4.9713698744513391164e-07
12654880000,-0.036843138605962083565,-0.0041119335905407507561,0.00017458471750446229176,0.99999992387177438768,-0.00023167643195613014852,-0.00031271611701954210626,2.8126614133508822546e-05
12904880000,-0.05058497604060296915,-0.0019407040898883872251,0.00055722426304796214558,0.99999999853312226961,-3.1250676636540770416e-05,4.008702221371216335e-05,-1.8713129606374811722e-05
13154880000,-0.060497376134044336671,-0.0019002424242543743734,0.00055736588753195828727,0.99999999718594556608,-3.6798098527854470263e-05,-4.9716421115109827331e-06,-6.5186590664106637506e-05
13404880000,-0.067801412617886983036,-0.0020349736115970662106,-0.0003183552977763549896,0.99999999701344488567,-2.0047289533812604807e-05,-6.5648736602457935714e-05,-3.5517035672487464501e-05
13654880000,-0.075997448708816639495,-0.0016224123150806110671,-2.1241652399115601435e-05,0.99999999677170947621,-1.3749634530275938067e-05,-7.7990862803714789591e-05,-1.3599771776312871002e-05
13904880000,-0.082460531314901372446,-0.00096503684762220382463,0.00057488567358777650784,0.9999999955774484528,1.3644221882967294393e-06,-9.3593494943141114961e-05,9.137788977735444962e-06
14154880000,-0.088248443952529440071,-0.00044750214100481937839,-7.7728503810964300058e-05,0.99999999496773595009,7.9047598445226808714e-06,-9.8361146700293882773e-05,1.8086671406731809168e-05
14404880000,-0.093345529882623484719,-0.00035809989705113602458,0.00070101940068736587341,0.99999999439718423311,-4.656022288150546911e-06,-0.00010277845914763146604,2.4910664978302251009e-05
14654880000,-0.098006172803179011921,-0.00039175073261440811201,7.4483401912246727239e-05,0.99999999525915517218,-3.3302851289645350056e-06,-9.2638497828371709538e-05,2.9811197730446436491e-05
14904880000,-0.10188476671906157578,-0.00036220605076215132631,0.0010481682449953941272,0.99999999553442697753,-1.5050116492580615057e-06,-8.947636756588450333e-05,3.0378621469684009425e-05
